Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Savings,2024-07-03 14:07:48,2024-07-03 14:07:48,To pocket RON mate from RON,150.00,0.00,RON,COMPLETED,150.00
Transfer,Savings,2024-07-03 14:08:08,2024-07-03 14:08:08,To pocket RON info from RON,150.00,0.00,RON,COMPLETED,300.00
Transfer,Savings,2024-07-03 14:08:14,2024-07-03 14:08:14,To pocket RON info from RON,150.00,0.00,RON,COMPLETED,450.00
Transfer,Savings,2024-07-03 14:08:22,2024-07-03 14:08:22,To pocket RON mate from RON,150.00,0.00,RON,COMPLETED,600.00
Transfer,Savings,2024-07-18 13:56:08,2024-07-18 13:56:08,Pocket Withdrawal,-150.00,0.00,RON,COMPLETED,450.00
Transfer,Savings,2024-07-18 17:02:51,2024-07-18 17:02:51,Pocket Withdrawal,-140.00,0.00,RON,COMPLETED,310.00
Transfer,Savings,2024-07-22 10:09:03,2024-07-22 10:09:03,Pocket Withdrawal,-10.00,0.00,RON,COMPLETED,300.00
Transfer,Savings,2024-07-22 10:09:09,2024-07-22 10:09:09,Pocket Withdrawal,-150.00,0.00,RON,COMPLETED,150.00
Transfer,Savings,2024-07-26 21:23:28,2024-07-26 21:23:28,Pocket Withdrawal,-100.00,0.00,RON,COMPLETED,50.00
Transfer,Savings,2024-07-27 19:37:45,2024-07-27 19:37:45,Pocket Withdrawal,-50.00,0.00,RON,COMPLETED,0.00
Transfer,Savings,2024-09-09 22:00:50,2024-09-09 22:00:50,To pocket RON iexamen from RON,300.00,0.00,RON,COMPLETED,300.00
Transfer,Savings,2024-09-26 07:42:21,2024-09-26 07:42:21,Pocket Withdrawal,-12.00,0.00,RON,COMPLETED,288.00
Transfer,Savings,2024-10-03 10:46:14,2024-10-03 10:46:14,Pocket Withdrawal,-288.00,0.00,RON,COMPLETED,0.00
Transfer,Current,2024-06-29 13:22:40,2024-06-29 13:22:41,Revolut Bank UAB,89.49,0.00,RON,COMPLETED,89.49
Transfer,Current,2024-06-29 13:23:41,2024-06-29 13:23:41,Revolut Bank UAB,-0.01,0.00,RON,COMPLETED,89.48
Transfer,Current,2024-07-01 12:40:43,2024-07-01 12:40:44,Revolut Bank UAB,370.00,0.00,RON,COMPLETED,459.48
Card Payment,Current,2024-07-01 12:46:15,2024-07-02 04:51:12,Extasy,-75.00,0.00,RON,COMPLETED,384.48
Card Payment,Current,2024-07-01 14:09:47,2024-07-02 08:15:18,Superbet,-20.00,0.00,RON,COMPLETED,364.48
Card Payment,Current,2024-07-02 12:40:50,2024-07-03 07:44:06,Restaurant Sat Boss,-14.00,0.00,RON,COMPLETED,350.48
Transfer,Current,2024-07-03 14:05:57,2024-07-03 14:05:57,Revolut Bank UAB,1900.38,0.00,RON,COMPLETED,2250.86
Transfer,Current,2024-07-03 14:07:48,2024-07-03 14:07:48,To pocket RON mate from RON,-150.00,0.00,RON,COMPLETED,2100.86
Transfer,Current,2024-07-03 14:08:08,2024-07-03 14:08:08,To pocket RON info from RON,-150.00,0.00,RON,COMPLETED,1950.86
Transfer,Current,2024-07-03 14:08:14,2024-07-03 14:08:14,To pocket RON info from RON,-150.00,0.00,RON,COMPLETED,1800.86
Transfer,Current,2024-07-03 14:08:22,2024-07-03 14:08:22,To pocket RON mate from RON,-150.00,0.00,RON,COMPLETED,1650.86
Card Payment,Current,2024-07-03 18:01:03,2024-07-04 04:35:56,5ToGo,-5.50,0.00,RON,COMPLETED,1645.36
Card Payment,Current,2024-07-03 10:16:01,2024-07-04 15:44:29,Lime,-4.21,0.00,RON,COMPLETED,1641.15
Card Payment,Current,2024-07-03 17:32:12,2024-07-04 18:43:01,Metrorex,-3.00,0.00,RON,COMPLETED,1638.15
Card Payment,Current,2024-07-04 21:49:33,2024-07-05 04:38:34,MKN Dual Modern,-27.50,0.00,RON,COMPLETED,1610.65
Card Payment,Current,2024-07-04 20:13:32,2024-07-05 07:52:16,Mega Image,-45.38,0.00,RON,COMPLETED,1565.27
Card Payment,Current,2024-07-04 12:03:55,2024-07-05 08:02:25,ZEMAN maso - uzeniny,-8.00,0.00,RON,COMPLETED,1557.27
Card Payment,Current,2024-07-04 09:50:49,2024-07-05 08:02:27,ROM SEP S.R.L.,-50.00,0.00,RON,COMPLETED,1507.27
Card Payment,Current,2024-07-04 12:08:25,2024-07-05 08:35:04,Fornetti,-6.00,0.00,RON,COMPLETED,1501.27
Transfer,Current,2024-07-05 13:45:12,2024-07-05 13:45:12,Revolut Bank UAB,55.00,0.00,RON,COMPLETED,1556.27
Card Payment,Current,2024-07-04 15:15:21,2024-07-05 16:01:03,Uber,-14.94,0.00,RON,COMPLETED,1541.33
Card Payment,Current,2024-07-04 22:26:16,2024-07-05 17:15:58,Neversea 221,-100.00,0.00,RON,COMPLETED,1441.33
Transfer,Current,2024-07-05 20:46:59,2024-07-05 20:47:00,Revolut Bank UAB,21.00,0.00,RON,COMPLETED,1462.33
Transfer,Current,2024-07-06 04:08:35,2024-07-06 04:08:35,Revolut Bank UAB,-50.00,0.00,RON,COMPLETED,1412.33
Card Payment,Current,2024-07-04 13:05:39,2024-07-06 04:37:45,CFR Călători,-5.50,0.00,RON,COMPLETED,1406.83
Card Payment,Current,2024-07-04 14:39:59,2024-07-06 04:37:49,CFR Călători,-10.50,0.00,RON,COMPLETED,1396.33
Card Payment,Current,2024-07-05 20:43:56,2024-07-06 04:39:16,MKN Dual Modern,-35.00,0.00,RON,COMPLETED,1361.33
Card Payment,Current,2024-07-05 15:12:35,2024-07-06 04:40:23,Avanti Junior Srl,-24.00,0.00,RON,COMPLETED,1337.33
Card Payment,Current,2024-07-04 19:37:52,2024-07-06 04:43:39,CT BUS,-2.50,0.00,RON,COMPLETED,1334.83
Card Payment,Current,2024-07-05 13:41:33,2024-07-06 07:50:47,McDonald's,-26.50,0.00,RON,COMPLETED,1308.33
Transfer,Current,2024-07-06 14:59:58,2024-07-06 15:01:09,To stefan caradeanu,-80.00,0.00,RON,COMPLETED,1228.33
Card Payment,Current,2024-07-04 23:54:50,2024-07-06 19:13:18,Neversea 241,-100.00,0.00,RON,COMPLETED,1128.33
Card Payment,Current,2024-07-05 04:02:14,2024-07-06 22:42:12,Profi,-23.83,0.00,RON,COMPLETED,1104.50
Card Payment,Current,2024-07-05 20:41:55,2024-07-06 22:43:04,Profi,-59.53,0.00,RON,COMPLETED,1044.97
Transfer,Current,2024-07-07 04:02:18,2024-07-07 04:02:19,Revolut Bank UAB,-30.00,0.00,RON,COMPLETED,1014.97
Transfer,Current,2024-07-07 04:08:37,2024-07-07 04:08:37,Revolut Bank UAB,-20.00,0.00,RON,COMPLETED,994.97
Card Payment,Current,2024-07-05 22:52:07,2024-07-07 17:52:36,Neversea 225,-100.00,0.00,RON,COMPLETED,894.97
Transfer,Current,2024-07-07 19:36:37,2024-07-07 19:36:37,Revolut Bank UAB,36.00,0.00,RON,COMPLETED,930.97
Card Payment,Current,2024-07-06 18:31:46,2024-07-07 20:37:56,Profi,-37.77,0.00,RON,COMPLETED,893.20
Card Payment,Current,2024-07-06 15:28:11,2024-07-07 20:38:03,Profi,-49.65,0.00,RON,COMPLETED,843.55
Card Payment,Current,2024-07-07 16:06:39,2024-07-08 04:49:17,Pizza Hut,-50.00,0.00,RON,COMPLETED,793.55
Card Payment,Current,2024-07-07 00:05:46,2024-07-08 18:31:55,Neversea 233,-70.00,0.00,RON,COMPLETED,723.55
Card Payment,Current,2024-07-07 03:02:22,2024-07-08 18:32:04,Neversea 247,-50.00,0.00,RON,COMPLETED,673.55
Transfer,Current,2024-07-08 19:29:54,2024-07-08 19:29:54,Revolut Bank UAB,-40.00,0.00,RON,COMPLETED,633.55
Card Payment,Current,2024-07-07 20:10:49,2024-07-08 21:26:39,Profi,-52.83,0.00,RON,COMPLETED,580.72
Card Payment,Current,2024-07-07 23:23:25,2024-07-08 21:35:46,MKN Dual Modern,-15.00,0.00,RON,COMPLETED,565.72
Card Payment,Current,2024-07-07 18:45:33,2024-07-08 21:36:02,One Premium Serv,-20.00,0.00,RON,COMPLETED,545.72
Card Payment,Current,2024-07-05 23:29:31,2024-07-09 04:42:59,Ana Modern,-37.00,0.00,RON,COMPLETED,508.72
Card Payment,Current,2024-07-06 03:24:28,2024-07-09 04:43:01,Ana Modern,-8.00,0.00,RON,COMPLETED,500.72
Card Payment,Current,2024-07-08 13:26:14,2024-07-09 07:41:13,McDonald's,-18.00,0.00,RON,COMPLETED,482.72
Card Payment,Current,2024-07-08 03:08:07,2024-07-09 17:14:36,Neversea 238,-30.00,0.00,RON,COMPLETED,452.72
Card Payment,Current,2024-07-08 15:40:35,2024-07-09 23:11:14,RomPetrol,-30.30,0.00,RON,COMPLETED,422.42
Card Payment,Current,2024-07-08 13:54:45,2024-07-09 23:11:37,Inmedio,-6.49,0.00,RON,COMPLETED,415.93
Card Payment,Current,2024-07-08 13:32:02,2024-07-09 23:11:42,Chopstix,-25.49,0.00,RON,COMPLETED,390.44
Card Payment,Current,2024-07-09 15:39:50,2024-07-10 07:45:47,Mega Image,-5.19,0.00,RON,COMPLETED,385.25
Card Payment,Current,2024-07-09 22:23:03,2024-07-10 17:05:14,Lime,-7.42,0.00,RON,COMPLETED,377.83
Card Payment,Current,2024-07-09 22:23:42,2024-07-10 21:09:56,Metro Food & Com,-22.00,0.00,RON,COMPLETED,355.83
Card Payment,Current,2024-07-11 18:33:50,2024-07-12 18:39:20,Profi,-22.00,0.00,RON,COMPLETED,333.83
Card Payment,Current,2024-07-13 01:56:00,2024-07-14 04:36:35,Pop events,-50.00,0.00,RON,COMPLETED,283.83
Card Payment,Current,2024-07-12 21:49:07,2024-07-14 04:36:41,Pop events,-100.00,0.00,RON,COMPLETED,183.83
Card Payment,Current,2024-07-13 17:00:20,2024-07-14 21:33:10,Darmat Partners,-11.00,0.00,RON,COMPLETED,172.83
Card Payment,Current,2024-07-13 16:50:10,2024-07-15 17:52:48,Red Kitchen Srl,-29.00,0.00,RON,COMPLETED,143.83
Card Payment,Current,2024-07-14 22:10:40,2024-07-15 20:40:47,Babylon Food Delivery Srl,-22.00,0.00,RON,COMPLETED,121.83
Card Payment,Current,2024-07-14 22:10:22,2024-07-15 20:40:54,Babylon Food Delivery Srl,-29.00,0.00,RON,COMPLETED,92.83
Card Payment,Current,2024-07-14 22:04:51,2024-07-15 20:41:10,C N Best Team Srl,-30.00,0.00,RON,COMPLETED,62.83
Card Payment,Current,2024-07-14 23:47:48,2024-07-15 20:41:59,Pop events,-50.00,0.00,RON,COMPLETED,12.83
